file,lines,classification,reason
docs/agent-bridge-setup-guide.md,105,KEEP_MD,"Active technical documentation for agent communication setup."
docs/ai-ml-learner-curriculum-plan.md,230,KEEP_MD,"Current strategic roadmap for AI/ML learner pathways."
docs/ai-ml-modernization-plan.md,102,KEEP_MD,"Active plan for updating AI/ML content to 2026 standards."
docs/ai-ml-reorganization-plan.md,94,KEEP_MD,"Active structural blueprint for the 2026 AI/ML curriculum."
docs/ai-track-plan.md,105,KEEP_MD,"Active positioning and scope definition for the AI foundations track."
docs/audits/2026-05-04-incident-canonicals.md,53,KEEP_MD,"Active policy locking real-world incidents to specific modules."
docs/audits/2026-05-04-incident-replacement-catalog.md,467,KEEP_MD,"Active database of verified incidents for curriculum content engineering."
docs/audits/2026-05-04-incident-reuse.md,307,ARCHIVE,"Historical audit results documenting the resolution of incident reuse violations."
docs/audits/2026-05-04-sweep-prompt-template.md,193,KEEP_MD,"Reusable prompt engineering template for incident de-duplication tasks."
docs/briefs/2026-05-09-codex-desktop-artifacts-ui-brief.md,87,KEEP_MD,"Active project brief governing the unified artifacts UI development."
docs/citation-seed-schema.md,165,KEEP_MD,"Frozen technical specification for the citation seed JSON format."
docs/citation-seeds-ai-foundations.md,27,KEEP_MD,"Active reference of pre-vetted citations for AI foundation modules."
docs/citation-tabs-proposal.md,155,KEEP_MD,"Foundational design document governing the three-tab module layout policy."
docs/citation-upgrade-plan.md,82,KEEP_MD,"Active policy governing quality upgrades and citation requirements."
docs/codex-routing-smoke.md,18,ARCHIVE,"Completed smoke test results for Codex model routing tiers."
docs/curriculum-gap-and-pedagogy-analysis.md,529,KEEP_MD,"Comprehensive analysis used for active curriculum path design."
docs/curriculum-route-action-plan.md,237,KEEP_MD,"Active execution plan for improving curriculum navigation and bridges."
docs/decisions/2026-05-05-phase-e-scope.md,131,KEEP_MD,"Active decision record defining the scope of back-catalog audits."
docs/decisions/2026-05-07-deliberation-ui-roadmap.md,136,KEEP_MD,"Active roadmap for the development of deliberation and channel UIs."
docs/decisions/2026-05-07-local-api-ui-split.md,60,KEEP_MD,"Active decision card for splitting the local API dashboard into multiple routes."
docs/decisions/2026-05-07-persistent-listeners-architecture.md,196,KEEP_MD,"Active architecture specification for persistent agent listener daemons."
docs/decisions/2026-05-08-content-green-definition.md,73,KEEP_MD,"Active definition of ""Green"" content standards for the EN curriculum."
docs/internal-changelog.md,266,KEEP_MD,"Detailed internal release engineering log for historical and active tracking."
docs/labs-architecture.md,533,KEEP_MD,"Active architectural blueprint for the interactive lab platform."
docs/labs-project-plan.md,452,KEEP_MD,"Current execution roadmap for the Killercoda lab integration phase."
docs/migration-decisions.md,100,KEEP_MD,"Active record of deduplication decisions for the AI/ML track migration."
docs/migrations/html-first/INDEX.md,10,KEEP_MD,"Discovery stub pointing to the active HTML-first migration plan."
docs/missing-modules-queue.md,112,KEEP_MD,"Active backlog queue for all planned curriculum modules."
docs/pedagogical-framework.md,196,KEEP_MD,"Canonical guidelines for technical curriculum design and instructional quality."
docs/pipeline.md,248,KEEP_MD,"Primary documentation for the automated module quality pipeline."
docs/planned-modules-inventory.md,169,KEEP_MD,"Active inventory for tracking the materialization of planned modules."
docs/quality-audit-results.md,182,ARCHIVE,"Historical snapshot of curriculum health from April 2026 audit."
docs/quality-rubric.md,291,KEEP_MD,"The master 8-dimension scoring system for curriculum and lab quality."
docs/research/agent-delegation-matrix.md,210,KEEP_MD,"Still actively useful as a reference for agent task delegation and capability mapping."
docs/research/ai-history/backup_ch01/brief.md,14,ARCHIVE,"Superseded by the active research brief in the chapters directory."
docs/research/ai-history/backup_ch01/infrastructure-log.md,14,ARCHIVE,"Superseded by the active infrastructure log in the chapters directory."
